lat,lon,avg_smi,total_drought_pct,unusual_dry_pct,moderate_drought_pct,severe_drought_pct,extreme_drought_pct,exceptional_drought_pct,drought_intensity,trend,drought_resistance
47.52245683414333,7.643855525739658,0.21076538,58.333333333333336,15.0,18.333333333333332,8.333333333333332,18.333333333333332,13.333333333333334,0.06446649,-0.042933792,0.0
47.524460343151915,7.696823967544816,0.28732833,41.66666666666667,13.333333333333334,13.333333333333334,15.0,11.666666666666666,1.6666666666666667,0.08193528,-0.09189464,0.0
47.526439448112434,7.749798104262196,0.1585341,71.66666666666667,10.0,15.0,16.666666666666664,18.333333333333332,21.666666666666668,0.061183307,-0.029868007,0.0
47.53223027315063,7.908753993242796,0.14193733,76.66666666666667,13.333333333333334,18.333333333333332,20.0,26.666666666666668,11.666666666666666,0.06815278,-0.07072791,0.0
47.53411169676464,7.961750218732594,0.1638241,71.66666666666667,15.0,21.666666666666668,21.666666666666668,20.0,8.333333333333332,0.07884586,-0.050444536,0.0
47.53596868415442,8.014751793466734,0.15471263,76.66666666666667,10.0,25.0,16.666666666666664,25.0,10.0,0.078472875,-0.030327767,0.0
47.537801229125535,8.067758648175817,0.19341035,63.33333333333333,18.333333333333332,21.666666666666668,21.666666666666668,11.666666666666666,8.333333333333332,0.08601152,-0.045240775,0.0
47.54828287141388,8.385906771348687,0.22172643,53.333333333333336,25.0,18.333333333333332,13.333333333333334,15.0,6.666666666666667,0.082634866,-0.048990086,0.0
47.54994415277399,8.438948642716884,0.20418675,61.66666666666667,16.666666666666664,23.333333333333332,13.333333333333334,18.333333333333332,6.666666666666667,0.0841933,-0.040222928,0.0
47.556303521795826,7.587878248341296,0.21540251,60.0,8.333333333333332,13.333333333333334,11.666666666666666,11.666666666666666,23.333333333333332,0.056987636,0.058641285,0.0
47.5583339623789,7.640876856411944,0.3045565,40.0,15.0,8.333333333333332,16.666666666666664,11.666666666666666,3.3333333333333335,0.077881314,-0.06612301,0.0
47.56033997529274,7.693881242491593,0.3229665,36.666666666666664,25.0,15.0,16.666666666666664,1.6666666666666667,3.3333333333333335,0.09620034,-0.07463738,0.0
47.562321553846495,7.746891337419872,0.27437213,43.333333333333336,21.666666666666668,10.0,20.0,11.666666666666666,1.6666666666666667,0.07476625,-0.11531751,0.0
47.564278691429536,7.799907071988892,0.24974754,51.66666666666667,18.333333333333332,13.333333333333334,18.333333333333332,15.0,5.0,0.08127942,-0.08118439,0.0
47.56621138151147,7.852928376943796,0.15549082,70.0,10.0,13.333333333333334,20.0,15.0,21.666666666666668,0.057981603,-0.021096945,0.0
47.568119617642274,7.905955182983328,0.24035427,50.0,26.666666666666668,13.333333333333334,20.0,10.0,6.666666666666667,0.080088474,-0.06891455,0.0
47.570003393452296,7.958987420760392,0.24350113,48.333333333333336,30.0,16.666666666666664,16.666666666666664,10.0,5.0,0.08555253,-0.10505645,0.0
47.57186270265239,8.012025020882614,0.25753617,45.0,28.333333333333332,13.333333333333334,16.666666666666664,10.0,5.0,0.081276506,-0.08965272,0.0
47.57369753903393,8.065067913912905,0.27056164,43.333333333333336,18.333333333333332,11.666666666666666,16.666666666666664,8.333333333333332,6.666666666666667,0.07740723,-0.06829624,0.0
47.575507896468906,8.118116030370023,0.28283274,43.333333333333336,16.666666666666664,11.666666666666666,18.333333333333332,6.666666666666667,6.666666666666667,0.08138589,-0.06245753,0.0
47.577293768909975,8.171169300729137,0.24510899,55.00000000000001,15.0,25.0,15.0,10.0,5.0,0.09717023,-0.042276755,0.0
47.58079203502469,8.277291024839522,0.26435992,46.666666666666664,18.333333333333332,21.666666666666668,11.666666666666666,8.333333333333332,5.0,0.093814,-0.012943089,0.0
47.582504417007584,8.330359339328302,0.2677047,48.333333333333336,15.0,21.666666666666668,16.666666666666664,5.0,5.0,0.096981205,-0.017894328,0.0
47.58419229061513,8.38343252919524,0.27043343,46.666666666666664,15.0,16.666666666666664,18.333333333333332,5.0,6.666666666666667,0.08865619,-0.07569286,0.0
47.585855650204266,8.436510524706083,0.27026215,46.666666666666664,18.333333333333332,18.333333333333332,16.666666666666664,5.0,6.666666666666667,0.08909368,-0.0473447,0.0
