Name,Type,Population,Sexual_Offenses,Robbery_bank,Handbag_Robbery,Other_Robberies,Home_Invasions,Assaults,Simple_Assaults,Theft,Shoplifting,Theft_with_Aggravating_Circumstances,Burglary,Daytime_Burglary,Total_Bicycle_Theft,Total_Vehicle_Theft,Total_Pickpocketing,Assault_on_Officials,Resistance_Against_Officials,Assault_on_Officials_Specific,Concealment,Arson,Property_Damage,Drug_Offenses,Violent_Crime,Homicide,Street_Crime,Total_Sum,Total_Crime_Rate
Magdeburg,City,240114,54.0,1.0,6.0,147.0,27.0,873.0,2209.0,5810.0,3074.0,5374.0,294.0,92.0,2301.0,1088.0,211.0,293.0,172.0,121.0,120.0,90.0,3451.0,1278.0,1246.0,10.0,6004.0,34346.0,14304.03891484878
Main-Kinzig-Kreis,Kreis,434002,42.0,1.0,3.0,43.0,8.0,444.0,1201.0,3291.0,1595.0,1993.0,296.0,85.0,498.0,787.0,107.0,75.0,14.0,61.0,168.0,148.0,1550.0,1073.0,621.0,13.0,2685.0,16802.0,3871.4107308261255
Main-Spessart,Kreis,127642,9.0,0.0,1.0,0.0,0.0,80.0,297.0,587.0,198.0,226.0,25.0,12.0,74.0,73.0,5.0,26.0,10.0,16.0,32.0,11.0,422.0,296.0,102.0,5.0,490.0,2997.0,2347.9732376490497
Main-Tauber-Kreis,Kreis,135371,13.0,0.0,0.0,7.0,1.0,118.0,552.0,1090.0,422.0,387.0,36.0,9.0,129.0,160.0,36.0,59.0,22.0,37.0,57.0,24.0,592.0,469.0,152.0,3.0,731.0,5106.0,3771.856601487764
Main-Taunus-Kreis,Kreis,243307,36.0,1.0,0.0,26.0,7.0,297.0,843.0,2100.0,739.0,1432.0,243.0,66.0,445.0,598.0,68.0,64.0,28.0,36.0,97.0,29.0,1190.0,604.0,423.0,3.0,2191.0,11566.0,4753.66512266396
Mainz,City,222889,48.0,0.0,1.0,57.0,1.0,514.0,1293.0,3651.0,1392.0,1735.0,94.0,42.0,754.0,493.0,266.0,117.0,57.0,60.0,80.0,21.0,1711.0,961.0,660.0,3.0,3495.0,17506.0,7854.133671917411
Mainz-Bingen,Kreis,215286,20.0,0.0,1.0,15.0,1.0,219.0,695.0,1551.0,513.0,836.0,112.0,50.0,251.0,302.0,49.0,42.0,22.0,20.0,51.0,28.0,1155.0,584.0,279.0,2.0,1737.0,8535.0,3964.493743206711
Mannheim,City,316877,44.0,0.0,4.0,146.0,2.0,704.0,1457.0,7044.0,2656.0,3873.0,200.0,61.0,1498.0,1504.0,702.0,210.0,78.0,132.0,189.0,46.0,2268.0,1918.0,1045.0,13.0,5555.0,31349.0,9893.11310066682
Mansfeld-Südharz,Kreis,131071,13.0,0.0,2.0,7.0,7.0,261.0,731.0,1398.0,379.0,933.0,77.0,16.0,101.0,455.0,20.0,41.0,26.0,15.0,56.0,39.0,907.0,415.0,331.0,4.0,1164.0,7398.0,5644.269136574834
Marburg-Biedenkopf,Kreis,250441,43.0,0.0,1.0,52.0,5.0,325.0,971.0,2441.0,903.0,1132.0,175.0,57.0,324.0,400.0,156.0,79.0,56.0,23.0,75.0,63.0,1188.0,1067.0,484.0,12.0,1773.0,11805.0,4713.685059554945
Mayen-Koblenz,Kreis,219001,27.0,0.0,0.0,40.0,3.0,295.0,935.0,1660.0,332.0,709.0,140.0,46.0,134.0,361.0,102.0,75.0,39.0,36.0,62.0,59.0,1013.0,1017.0,390.0,1.0,1624.0,9100.0,4155.232167889644
Mecklenburgische Seenplatte,Kreis,259312,4.0,1.0,4.0,44.0,9.0,402.0,1141.0,2882.0,1198.0,1969.0,167.0,67.0,575.0,414.0,64.0,149.0,86.0,63.0,60.0,108.0,2518.0,1545.0,517.0,6.0,2678.0,16671.0,6428.935028074288
Meißen,Kreis,241160,23.0,0.0,2.0,32.0,7.0,272.0,856.0,1971.0,589.0,1849.0,108.0,48.0,508.0,414.0,88.0,83.0,62.0,21.0,49.0,131.0,1599.0,484.0,366.0,2.0,2138.0,11702.0,4852.380162547686
Memmingen,City,46178,7.0,0.0,0.0,1.0,1.0,77.0,201.0,443.0,178.0,227.0,12.0,4.0,173.0,36.0,7.0,42.0,14.0,28.0,19.0,7.0,237.0,372.0,95.0,0.0,395.0,2576.0,5578.413963359175
Merzig-Wadern,Kreis,104327,6.0,0.0,1.0,7.0,1.0,147.0,538.0,944.0,198.0,438.0,79.0,26.0,55.0,191.0,81.0,44.0,29.0,15.0,30.0,38.0,653.0,261.0,173.0,0.0,747.0,4702.0,4506.98285199421
Mettmann,Kreis,490251,57.0,0.0,6.0,94.0,11.0,927.0,2456.0,5813.0,1496.0,4341.0,611.0,251.0,854.0,1723.0,710.0,250.0,122.0,128.0,302.0,90.0,2989.0,1450.0,1215.0,10.0,6734.0,32640.0,6657.814058512884
Miesbach,Kreis,101451,10.0,0.0,0.0,0.0,1.0,110.0,344.0,559.0,117.0,194.0,17.0,8.0,128.0,46.0,9.0,30.0,11.0,19.0,27.0,21.0,717.0,395.0,134.0,2.0,783.0,3682.0,3629.3383012488785
Miltenberg,Kreis,130363,3.0,0.0,0.0,3.0,0.0,96.0,351.0,472.0,106.0,209.0,43.0,14.0,83.0,84.0,8.0,34.0,11.0,23.0,38.0,19.0,407.0,359.0,110.0,2.0,552.0,3027.0,2321.9778618166197
Minden-Lübbecke,Kreis,316196,60.0,1.0,2.0,58.0,9.0,559.0,1239.0,3413.0,1264.0,2211.0,219.0,78.0,750.0,793.0,197.0,132.0,90.0,42.0,139.0,91.0,1686.0,912.0,781.0,11.0,3551.0,18288.0,5783.754380194563
Mittelsachsen,Kreis,300308,14.0,0.0,0.0,21.0,7.0,296.0,865.0,1851.0,549.0,1552.0,106.0,47.0,324.0,389.0,43.0,73.0,48.0,25.0,37.0,106.0,1706.0,525.0,368.0,5.0,1888.0,10845.0,3611.292406462698
Märkisch-Oderland,Kreis,201111,24.0,0.0,3.0,41.0,1.0,261.0,674.0,1389.0,365.0,1613.0,230.0,79.0,442.0,369.0,52.0,46.0,17.0,29.0,99.0,78.0,1222.0,404.0,366.0,0.0,1692.0,9496.0,4721.770564514124
Märkischer Kreis,Kreis,408579,60.0,0.0,1.0,47.0,10.0,717.0,2304.0,4720.0,1385.0,2185.0,396.0,147.0,322.0,1036.0,481.0,188.0,116.0,72.0,301.0,212.0,2682.0,1060.0,946.0,8.0,4732.0,24128.0,5905.3451107374585
Mönchengladbach,City,268943,60.0,0.0,4.0,141.0,18.0,795.0,1984.0,6489.0,2880.0,3889.0,433.0,172.0,830.0,1789.0,493.0,205.0,125.0,80.0,337.0,48.0,2165.0,1471.0,1174.0,14.0,5546.0,31142.0,11579.405301495111
Mühldorf a.Inn,Kreis,120732,12.0,0.0,0.0,3.0,1.0,116.0,501.0,594.0,192.0,250.0,15.0,3.0,136.0,71.0,12.0,50.0,22.0,28.0,73.0,23.0,486.0,279.0,154.0,7.0,549.0,3577.0,2962.7604943179936
Mülheim an der Ruhr,City,173255,37.0,0.0,1.0,35.0,7.0,319.0,885.0,2366.0,731.0,1940.0,488.0,233.0,356.0,514.0,203.0,77.0,65.0,12.0,120.0,77.0,1029.0,793.0,443.0,4.0,2210.0,12945.0,7471.645839946898
München,City,358480,243.0,0.0,40.0,258.0,17.0,3445.0,7928.0,18544.0,7861.0,10595.0,783.0,325.0,5504.0,1935.0,1436.0,941.0,403.0,538.0,592.0,121.0,9198.0,8966.0,4471.0,45.0,18027.0,102216.0,28513.724615041287
München,Kreis,358480,29.0,0.0,1.0,25.0,2.0,338.0,930.0,2033.0,499.0,1733.0,107.0,41.0,1116.0,380.0,48.0,81.0,21.0,60.0,79.0,32.0,1468.0,801.0,434.0,6.0,2760.0,13024.0,3633.117607676858
Münster,City,322904,59.0,0.0,7.0,136.0,7.0,793.0,1980.0,9008.0,3018.0,7966.0,429.0,160.0,3725.0,1576.0,953.0,251.0,178.0,73.0,201.0,55.0,2796.0,1901.0,1170.0,4.0,9497.0,45943.0,14228.067784852463
Neckar-Odenwald-Kreis,Kreis,146070,17.0,0.0,0.0,5.0,2.0,198.0,576.0,832.0,242.0,391.0,52.0,17.0,45.0,191.0,16.0,52.0,19.0,33.0,58.0,23.0,642.0,399.0,248.0,3.0,667.0,4728.0,3236.80427192442
Neu-Ulm,Kreis,182600,14.0,0.0,0.0,4.0,2.0,230.0,789.0,1209.0,453.0,640.0,66.0,21.0,250.0,142.0,18.0,57.0,29.0,28.0,41.0,14.0,710.0,596.0,285.0,4.0,974.0,6576.0,3601.3143483023
Neuburg-Schrobenhausen,Kreis,101109,7.0,0.0,0.0,0.0,0.0,119.0,356.0,554.0,144.0,298.0,29.0,4.0,186.0,69.0,24.0,32.0,13.0,19.0,47.0,12.0,378.0,217.0,134.0,2.0,577.0,3221.0,3185.6709096123986
Neumarkt i.d.OPf.,Kreis,139277,5.0,0.0,0.0,0.0,1.0,105.0,327.0,653.0,204.0,400.0,26.0,8.0,212.0,112.0,17.0,15.0,5.0,10.0,23.0,9.0,358.0,251.0,124.0,1.0,648.0,3514.0,2523.029645957337
Neumünster,City,80185,14.0,0.0,6.0,83.0,8.0,309.0,805.0,3296.0,1313.0,2090.0,179.0,56.0,633.0,532.0,595.0,115.0,61.0,54.0,74.0,33.0,870.0,1038.0,471.0,1.0,2593.0,15229.0,18992.33023632849
Neunkirchen,Kreis,132393,21.0,0.0,3.0,17.0,7.0,240.0,808.0,2126.0,738.0,664.0,114.0,36.0,52.0,394.0,120.0,67.0,43.0,24.0,55.0,43.0,953.0,493.0,320.0,6.0,1398.0,8742.0,6603.068138043553
Neustadt a.d.Aisch-Bad Windsheim,Kreis,103654,6.0,0.0,0.0,2.0,0.0,95.0,296.0,530.0,140.0,167.0,7.0,3.0,101.0,63.0,7.0,18.0,3.0,15.0,42.0,10.0,474.0,184.0,112.0,3.0,517.0,2795.0,2696.4709514345805
Neustadt a.d.Waldnaab,Kreis,96400,7.0,0.0,0.0,1.0,0.0,60.0,249.0,316.0,61.0,134.0,18.0,6.0,31.0,39.0,2.0,25.0,14.0,11.0,41.0,12.0,225.0,376.0,73.0,0.0,216.0,1917.0,1988.5892116182572
Neustadt an der Weinstraße,City,53920,12.0,0.0,0.0,7.0,2.0,112.0,356.0,762.0,268.0,337.0,47.0,17.0,95.0,138.0,42.0,31.0,13.0,18.0,28.0,13.0,372.0,318.0,147.0,0.0,618.0,3753.0,6960.311572700297
Neuwied,Kreis,188139,32.0,0.0,1.0,21.0,4.0,245.0,800.0,1502.0,383.0,731.0,126.0,45.0,161.0,330.0,79.0,81.0,48.0,33.0,68.0,51.0,903.0,876.0,338.0,5.0,1408.0,8271.0,4396.217690112098
Nienburg (Weser),Kreis,123888,21.0,0.0,1.0,13.0,2.0,162.0,502.0,1481.0,482.0,1175.0,209.0,64.0,384.0,249.0,58.0,41.0,23.0,18.0,61.0,29.0,676.0,316.0,243.0,4.0,1115.0,7329.0,5915.827198760171
Nordfriesland,Kreis,170007,29.0,0.0,0.0,14.0,3.0,219.0,779.0,2008.0,602.0,1081.0,145.0,19.0,462.0,287.0,89.0,64.0,31.0,33.0,56.0,51.0,1260.0,414.0,283.0,3.0,1815.0,9747.0,5733.293334980324
Nordhausen,Kreis,82179,8.0,0.0,1.0,5.0,3.0,125.0,474.0,805.0,297.0,544.0,44.0,13.0,146.0,122.0,33.0,36.0,24.0,12.0,42.0,27.0,660.0,508.0,163.0,0.0,668.0,4760.0,5792.234025724333
Nordsachsen,Kreis,199688,5.0,0.0,1.0,28.0,2.0,303.0,850.0,1787.0,503.0,2018.0,134.0,52.0,602.0,501.0,60.0,94.0,58.0,36.0,39.0,133.0,1394.0,893.0,380.0,2.0,2030.0,11905.0,5961.800408637474
