Name,Type,Population,Sexual_Offenses,Robbery_bank,Handbag_Robbery,Other_Robberies,Home_Invasions,Assaults,Simple_Assaults,Theft,Shoplifting,Theft_with_Aggravating_Circumstances,Burglary,Daytime_Burglary,Total_Bicycle_Theft,Total_Vehicle_Theft,Total_Pickpocketing,Assault_on_Officials,Resistance_Against_Officials,Assault_on_Officials_Specific,Concealment,Arson,Property_Damage,Drug_Offenses,Violent_Crime,Homicide,Street_Crime,Total_Sum,Total_Crime_Rate
Pforzheim,City,128992,44.0,0.0,4.0,36.0,2.0,380.0,919.0,2325.0,1055.0,892.0,84.0,28.0,154.0,341.0,133.0,76.0,28.0,48.0,68.0,28.0,1225.0,515.0,518.0,7.0,1735.0,10645.0,8252.44976432647
Pinneberg,Kreis,324018,19.0,0.0,2.0,70.0,9.0,456.0,1410.0,4073.0,1336.0,2884.0,348.0,59.0,1179.0,766.0,398.0,128.0,67.0,61.0,97.0,89.0,2452.0,1069.0,628.0,13.0,4540.0,22153.0,6836.965847576369
Pirmasens,City,40941,5.0,0.0,0.0,19.0,1.0,132.0,288.0,681.0,344.0,267.0,44.0,19.0,36.0,93.0,31.0,39.0,20.0,19.0,14.0,13.0,459.0,481.0,167.0,2.0,593.0,3767.0,9201.045406804915
Plön,Kreis,131370,11.0,0.0,0.0,11.0,3.0,134.0,410.0,1131.0,373.0,676.0,139.0,24.0,150.0,274.0,58.0,31.0,17.0,14.0,27.0,16.0,671.0,320.0,171.0,1.0,1032.0,5694.0,4334.322904772779
Potsdam,City,187119,24.0,1.0,4.0,54.0,12.0,262.0,797.0,2463.0,1031.0,2694.0,153.0,68.0,1434.0,424.0,155.0,105.0,36.0,69.0,74.0,66.0,1618.0,643.0,414.0,5.0,3043.0,15649.0,8363.127207819623
Potsdam-Mittelmark,Kreis,223531,12.0,0.0,1.0,37.0,9.0,179.0,644.0,1494.0,299.0,1937.0,329.0,110.0,594.0,596.0,73.0,79.0,29.0,50.0,42.0,65.0,1275.0,329.0,273.0,4.0,2112.0,10572.0,4729.545342704144
Prignitz,Kreis,75836,11.0,0.0,0.0,14.0,4.0,140.0,477.0,796.0,255.0,451.0,51.0,14.0,126.0,100.0,15.0,56.0,35.0,21.0,21.0,37.0,607.0,295.0,191.0,2.0,534.0,4253.0,5608.154438525239
Rastatt,Kreis,235542,19.0,0.0,4.0,25.0,0.0,228.0,792.0,1844.0,496.0,1380.0,192.0,61.0,461.0,515.0,63.0,72.0,43.0,29.0,69.0,64.0,1053.0,418.0,310.0,7.0,1903.0,10048.0,4265.905868167885
Ravensburg,Kreis,293148,37.0,2.0,1.0,20.0,6.0,358.0,1107.0,2398.0,838.0,836.0,60.0,12.0,483.0,306.0,33.0,161.0,71.0,90.0,114.0,41.0,1380.0,794.0,468.0,12.0,1692.0,11320.0,3861.530694393276
Recklinghausen,Kreis,620646,87.0,1.0,8.0,152.0,39.0,1176.0,3567.0,10105.0,3364.0,7440.0,1243.0,552.0,2145.0,2469.0,1028.0,214.0,150.0,64.0,370.0,102.0,4596.0,1612.0,1695.0,9.0,10476.0,52664.0,8485.35235867145
Regen,Kreis,77940,5.0,0.0,0.0,0.0,0.0,77.0,250.0,327.0,96.0,88.0,11.0,2.0,24.0,25.0,6.0,14.0,4.0,10.0,28.0,21.0,261.0,196.0,89.0,1.0,256.0,1791.0,2297.921478060046
Regensburg,City,200264,35.0,0.0,5.0,7.0,2.0,416.0,976.0,4123.0,2302.0,1631.0,56.0,13.0,984.0,397.0,177.0,151.0,47.0,104.0,89.0,16.0,1304.0,1313.0,568.0,9.0,2507.0,17232.0,8604.641872727998
Regensburg,Kreis,200264,9.0,0.0,0.0,1.0,0.0,112.0,361.0,801.0,260.0,369.0,31.0,11.0,144.0,188.0,13.0,17.0,9.0,8.0,36.0,17.0,563.0,347.0,139.0,1.0,739.0,4176.0,2085.2474733351974
Region Hannover,Kreis,1177676,288.0,2.0,39.0,573.0,62.0,3378.0,8870.0,23442.0,9195.0,17014.0,1479.0,633.0,5903.0,4240.0,2017.0,981.0,467.0,514.0,823.0,212.0,10089.0,8518.0,4972.0,38.0,21948.0,125697.0,10673.309127467995
Regionalverband Saarbrücken,Region,332427,47.0,0.0,6.0,118.0,14.0,895.0,2619.0,7548.0,2686.0,2983.0,357.0,141.0,524.0,1815.0,604.0,239.0,133.0,106.0,120.0,125.0,3103.0,1321.0,1200.0,16.0,5760.0,32480.0,9770.566169414638
Rems-Murr-Kreis,Kreis,434369,34.0,1.0,4.0,46.0,4.0,599.0,1950.0,3103.0,994.0,1823.0,211.0,68.0,597.0,463.0,66.0,155.0,62.0,93.0,156.0,108.0,2270.0,1040.0,754.0,11.0,2654.0,17266.0,3974.9613807615187
Remscheid,City,112970,20.0,0.0,0.0,29.0,3.0,204.0,695.0,1518.0,583.0,569.0,100.0,43.0,68.0,218.0,188.0,136.0,92.0,44.0,84.0,15.0,900.0,276.0,294.0,5.0,1373.0,7457.0,6600.867486943436
Rendsburg-Eckernförde,Kreis,279864,22.0,0.0,5.0,33.0,5.0,288.0,1024.0,2601.0,764.0,1842.0,225.0,55.0,655.0,596.0,191.0,56.0,31.0,25.0,40.0,61.0,1443.0,486.0,400.0,9.0,2601.0,13458.0,4808.764256924792
Reutlingen,Kreis,293624,21.0,0.0,3.0,32.0,4.0,424.0,1183.0,3003.0,1414.0,1513.0,118.0,46.0,503.0,300.0,75.0,117.0,34.0,83.0,88.0,65.0,1494.0,810.0,545.0,7.0,2041.0,13923.0,4741.778601204262
Rhein-Erft-Kreis,Kreis,480989,73.0,0.0,9.0,111.0,20.0,771.0,2583.0,6694.0,1676.0,5353.0,828.0,310.0,1640.0,2252.0,626.0,133.0,104.0,29.0,387.0,88.0,2845.0,1581.0,1087.0,4.0,7738.0,36942.0,7680.425124067286
Rhein-Hunsrück-Kreis,Kreis,106227,9.0,0.0,0.0,15.0,1.0,144.0,346.0,679.0,197.0,294.0,68.0,26.0,37.0,108.0,38.0,32.0,24.0,8.0,25.0,22.0,424.0,661.0,184.0,3.0,578.0,3923.0,3693.0347275174863
Rhein-Kreis Neuss,Kreis,458722,60.0,1.0,4.0,60.0,11.0,752.0,2381.0,6142.0,1682.0,5250.0,989.0,399.0,1396.0,2294.0,671.0,153.0,129.0,24.0,347.0,81.0,2507.0,1771.0,1020.0,13.0,7246.0,35383.0,7713.386321126957
Rhein-Lahn-Kreis,Kreis,124796,11.0,0.0,0.0,9.0,1.0,161.0,541.0,892.0,233.0,434.0,63.0,33.0,101.0,121.0,43.0,46.0,29.0,17.0,40.0,44.0,545.0,586.0,196.0,2.0,836.0,4984.0,3993.7177473636975
Rhein-Neckar-Kreis,Kreis,556645,44.0,0.0,3.0,33.0,7.0,517.0,1647.0,3999.0,1239.0,2921.0,331.0,80.0,1158.0,902.0,174.0,151.0,54.0,97.0,232.0,70.0,2740.0,1645.0,679.0,11.0,4201.0,22935.0,4120.220248093489
Rhein-Pfalz-Kreis,Kreis,156346,23.0,0.0,0.0,15.0,1.0,167.0,688.0,982.0,188.0,806.0,148.0,75.0,300.0,297.0,32.0,21.0,9.0,12.0,46.0,30.0,791.0,234.0,220.0,0.0,1383.0,6468.0,4136.978240568994
Rhein-Sieg-Kreis,Kreis,610537,68.0,0.0,6.0,64.0,16.0,876.0,2646.0,5604.0,1463.0,3967.0,702.0,271.0,1082.0,1714.0,516.0,208.0,157.0,51.0,354.0,72.0,2865.0,1155.0,1137.0,11.0,6573.0,31578.0,5172.16810774777
Rheingau-Taunus-Kreis,Kreis,189918,14.0,0.0,0.0,11.0,1.0,183.0,489.0,792.0,149.0,619.0,157.0,49.0,101.0,262.0,24.0,39.0,11.0,28.0,59.0,23.0,763.0,294.0,226.0,3.0,1030.0,5327.0,2804.8947440474312
Rheinisch-Bergischer Kreis,Kreis,286778,37.0,0.0,0.0,39.0,6.0,397.0,1293.0,2689.0,636.0,2097.0,409.0,167.0,562.0,806.0,310.0,81.0,62.0,19.0,167.0,48.0,1352.0,448.0,541.0,2.0,3071.0,15239.0,5313.866475113154
Rhön-Grabfeld,Kreis,80544,8.0,0.0,0.0,0.0,2.0,51.0,201.0,486.0,172.0,159.0,6.0,1.0,58.0,62.0,1.0,17.0,4.0,13.0,48.0,8.0,390.0,217.0,67.0,2.0,391.0,2364.0,2935.041716328963
Rosenheim,City,268391,12.0,0.0,0.0,7.0,0.0,152.0,572.0,947.0,419.0,507.0,17.0,2.0,434.0,61.0,18.0,123.0,59.0,64.0,54.0,6.0,468.0,391.0,192.0,0.0,964.0,5469.0,2037.6987305833652
Rosenheim,Kreis,268391,37.0,0.0,0.0,1.0,2.0,212.0,779.0,1080.0,229.0,430.0,44.0,15.0,273.0,112.0,19.0,79.0,42.0,37.0,98.0,36.0,856.0,1127.0,271.0,2.0,1033.0,6814.0,2538.833269371924
Rostock,City,210795,17.0,0.0,4.0,101.0,8.0,530.0,1332.0,3577.0,1880.0,2859.0,120.0,45.0,1212.0,756.0,134.0,188.0,69.0,119.0,52.0,84.0,2545.0,1137.0,723.0,0.0,4087.0,21579.0,10236.960079698285
Rotenburg (Wümme),Kreis,168454,26.0,0.0,0.0,9.0,2.0,286.0,797.0,1914.0,562.0,1509.0,215.0,68.0,464.0,467.0,111.0,64.0,30.0,34.0,70.0,55.0,874.0,773.0,358.0,2.0,1774.0,10464.0,6211.784819594666
Roth,Kreis,129595,8.0,0.0,0.0,1.0,1.0,82.0,338.0,602.0,157.0,231.0,26.0,9.0,87.0,89.0,11.0,18.0,10.0,8.0,38.0,12.0,399.0,175.0,113.0,2.0,481.0,2898.0,2236.1973841583394
Rottal-Inn,Kreis,124911,8.0,0.0,0.0,3.0,0.0,143.0,436.0,618.0,214.0,270.0,44.0,7.0,83.0,81.0,16.0,40.0,15.0,25.0,37.0,10.0,428.0,210.0,173.0,6.0,544.0,3411.0,2730.7442899344333
Rottweil,Kreis,142963,12.0,0.0,0.0,13.0,0.0,125.0,426.0,910.0,287.0,340.0,43.0,19.0,80.0,155.0,19.0,42.0,22.0,20.0,46.0,35.0,593.0,296.0,166.0,3.0,671.0,4323.0,3023.8593202436996
Saale-Holzland-Kreis,Kreis,83643,0.0,0.0,0.0,3.0,1.0,102.0,322.0,649.0,113.0,412.0,36.0,12.0,54.0,113.0,22.0,21.0,15.0,6.0,22.0,22.0,630.0,312.0,120.0,0.0,584.0,3571.0,4269.335150580443
Saale-Orla-Kreis,Kreis,78619,3.0,0.0,1.0,4.0,3.0,157.0,433.0,661.0,169.0,449.0,40.0,16.0,54.0,151.0,11.0,62.0,34.0,28.0,24.0,18.0,686.0,595.0,173.0,1.0,593.0,4366.0,5553.364962668057
Saalekreis,Kreis,184255,15.0,0.0,2.0,21.0,4.0,284.0,981.0,1669.0,512.0,2341.0,143.0,38.0,409.0,656.0,48.0,71.0,30.0,41.0,73.0,73.0,1123.0,545.0,374.0,3.0,1842.0,11298.0,6131.719627689886
Saalfeld-Rudolstadt,Kreis,101044,4.0,0.0,0.0,3.0,1.0,130.0,464.0,1015.0,363.0,680.0,35.0,16.0,154.0,129.0,14.0,37.0,24.0,13.0,26.0,37.0,947.0,315.0,152.0,1.0,844.0,5404.0,5348.165155773722
Saarlouis,Kreis,195945,15.0,0.0,2.0,30.0,9.0,319.0,998.0,2473.0,701.0,1357.0,241.0,92.0,139.0,698.0,195.0,75.0,49.0,26.0,33.0,74.0,1230.0,418.0,407.0,7.0,2068.0,11656.0,5948.608027762893
Saarpfalz-Kreis,Kreis,142344,19.0,0.0,1.0,16.0,0.0,232.0,644.0,1575.0,395.0,739.0,124.0,46.0,129.0,337.0,139.0,49.0,33.0,16.0,21.0,49.0,889.0,263.0,290.0,7.0,1360.0,7373.0,5179.7055021637725
Salzgitter,City,105039,30.0,0.0,2.0,16.0,7.0,236.0,683.0,1314.0,538.0,730.0,108.0,44.0,222.0,170.0,49.0,42.0,31.0,11.0,44.0,28.0,834.0,291.0,334.0,5.0,1108.0,6877.0,6547.092032483173
Salzlandkreis,Kreis,184943,23.0,0.0,0.0,20.0,4.0,445.0,1049.0,2010.0,679.0,1925.0,154.0,54.0,649.0,497.0,78.0,77.0,45.0,32.0,45.0,92.0,1275.0,522.0,528.0,1.0,2105.0,12309.0,6655.564146791174
Schaumburg,Kreis,160236,27.0,1.0,1.0,15.0,4.0,221.0,758.0,1580.0,424.0,887.0,154.0,67.0,280.0,273.0,138.0,48.0,25.0,23.0,91.0,34.0,923.0,468.0,314.0,5.0,1397.0,8158.0,5091.24042037994
Schleswig-Flensburg,Kreis,206385,30.0,0.0,0.0,26.0,4.0,214.0,757.0,1923.0,611.0,1158.0,234.0,24.0,256.0,495.0,117.0,50.0,24.0,26.0,43.0,46.0,903.0,398.0,303.0,4.0,1625.0,9271.0,4492.090025922426
Schmalkalden-Meiningen,Kreis,123274,6.0,0.0,3.0,8.0,0.0,176.0,532.0,923.0,325.0,446.0,30.0,6.0,92.0,124.0,25.0,62.0,47.0,15.0,92.0,44.0,624.0,458.0,215.0,3.0,592.0,4848.0,3932.7027597060205
Schwabach,City,41380,2.0,0.0,0.0,4.0,0.0,37.0,162.0,346.0,158.0,123.0,6.0,2.0,73.0,38.0,4.0,10.0,3.0,7.0,9.0,4.0,196.0,153.0,51.0,0.0,277.0,1665.0,4023.6829386176896
Schwalm-Eder-Kreis,Kreis,183501,20.0,0.0,2.0,15.0,7.0,224.0,618.0,1270.0,362.0,712.0,124.0,22.0,103.0,274.0,69.0,44.0,25.0,19.0,74.0,43.0,806.0,416.0,303.0,8.0,1082.0,6642.0,3619.598803276276
Schwandorf,Kreis,152284,11.0,0.0,0.0,1.0,2.0,145.0,536.0,869.0,314.0,246.0,18.0,2.0,105.0,130.0,8.0,51.0,27.0,24.0,75.0,19.0,549.0,544.0,178.0,5.0,670.0,4529.0,2974.0484883507133
Schwarzwald-Baar-Kreis,Kreis,218780,20.0,1.0,1.0,16.0,2.0,250.0,683.0,1787.0,796.0,812.0,84.0,23.0,184.0,274.0,45.0,77.0,33.0,44.0,78.0,33.0,970.0,525.0,312.0,4.0,1236.0,8290.0,3789.1946247371793
Schweinfurt,City,116653,12.0,0.0,0.0,1.0,0.0,161.0,398.0,1182.0,642.0,336.0,11.0,2.0,181.0,156.0,32.0,61.0,25.0,36.0,27.0,11.0,561.0,463.0,188.0,2.0,961.0,5449.0,4671.118616752248
Schweinfurt,Kreis,116653,10.0,0.0,0.0,0.0,1.0,157.0,362.0,571.0,160.0,204.0,20.0,8.0,71.0,72.0,17.0,23.0,11.0,12.0,34.0,17.0,374.0,329.0,183.0,5.0,477.0,3118.0,2672.8845379030113
Schwerin,City,98733,18.0,1.0,5.0,47.0,13.0,390.0,834.0,2064.0,906.0,938.0,65.0,29.0,338.0,263.0,160.0,109.0,58.0,51.0,46.0,52.0,1019.0,908.0,519.0,6.0,1586.0,10425.0,10558.779739296891
Schwäbisch Hall,Kreis,204721,21.0,0.0,4.0,20.0,2.0,193.0,693.0,1520.0,556.0,621.0,36.0,10.0,201.0,337.0,25.0,68.0,26.0,42.0,79.0,35.0,758.0,412.0,256.0,4.0,1058.0,6977.0,3408.0529110350185
Segeberg,Kreis,287175,33.0,0.0,1.0,65.0,4.0,372.0,1202.0,3399.0,1303.0,1904.0,200.0,34.0,791.0,608.0,301.0,109.0,51.0,58.0,73.0,71.0,1578.0,629.0,532.0,6.0,3151.0,16475.0,5736.919996517803
Siegen-Wittgenstein,Kreis,276625,47.0,0.0,0.0,38.0,8.0,457.0,1294.0,3831.0,1434.0,1416.0,174.0,52.0,291.0,796.0,250.0,129.0,83.0,46.0,176.0,56.0,1689.0,1090.0,623.0,12.0,3169.0,17161.0,6203.7053773158605
Sigmaringen,Kreis,134259,10.0,0.0,1.0,12.0,1.0,189.0,596.0,1191.0,455.0,404.0,37.0,5.0,94.0,256.0,17.0,71.0,32.0,39.0,61.0,27.0,560.0,338.0,241.0,4.0,746.0,5387.0,4012.393954967637
Soest,Kreis,306674,41.0,0.0,5.0,55.0,9.0,664.0,1634.0,4344.0,1285.0,2617.0,264.0,69.0,1022.0,893.0,517.0,166.0,108.0,58.0,161.0,87.0,2025.0,1876.0,889.0,7.0,4830.0,23626.0,7703.946209981935
Solingen,City,161545,32.0,0.0,0.0,33.0,3.0,345.0,1050.0,2371.0,580.0,1123.0,173.0,70.0,164.0,379.0,525.0,98.0,48.0,50.0,114.0,18.0,1119.0,605.0,467.0,3.0,2318.0,11688.0,7235.13572069702
Sonneberg,Kreis,56434,2.0,0.0,0.0,9.0,0.0,109.0,344.0,599.0,103.0,432.0,100.0,39.0,91.0,82.0,4.0,40.0,24.0,16.0,18.0,16.0,353.0,199.0,129.0,0.0,390.0,3099.0,5491.370450437679
Speyer,City,51203,11.0,0.0,2.0,21.0,1.0,192.0,522.0,903.0,329.0,716.0,43.0,11.0,355.0,137.0,61.0,28.0,10.0,18.0,50.0,9.0,496.0,395.0,246.0,1.0,1060.0,5617.0,10970.060348026482
Spree-Neiße,Kreis,111966,3.0,0.0,0.0,9.0,4.0,128.0,412.0,1062.0,203.0,1692.0,76.0,30.0,449.0,295.0,17.0,40.0,13.0,27.0,59.0,43.0,823.0,126.0,164.0,1.0,1166.0,6842.0,6110.783630745047
St. Wendel,Kreis,86988,5.0,0.0,1.0,8.0,1.0,125.0,335.0,749.0,153.0,434.0,49.0,16.0,32.0,210.0,30.0,21.0,18.0,3.0,16.0,27.0,360.0,157.0,144.0,0.0,612.0,3506.0,4030.4409803651074
Stade,Kreis,211467,26.0,1.0,6.0,37.0,1.0,317.0,927.0,2574.0,1067.0,1601.0,143.0,41.0,829.0,393.0,161.0,73.0,44.0,29.0,135.0,36.0,968.0,590.0,463.0,5.0,2241.0,12708.0,6009.448282710778
Starnberg,Kreis,139067,9.0,0.0,0.0,1.0,0.0,130.0,330.0,736.0,187.0,370.0,33.0,6.0,238.0,96.0,27.0,28.0,6.0,22.0,27.0,20.0,675.0,249.0,154.0,1.0,828.0,4173.0,3000.7118870760137
Steinburg,Kreis,133072,20.0,1.0,1.0,36.0,2.0,187.0,644.0,1309.0,355.0,846.0,102.0,24.0,293.0,258.0,110.0,43.0,20.0,23.0,40.0,28.0,1139.0,365.0,281.0,1.0,1586.0,7714.0,5796.86184922448
Steinfurt,Kreis,459195,63.0,0.0,2.0,56.0,14.0,574.0,1919.0,5506.0,1298.0,4209.0,311.0,125.0,1908.0,1183.0,530.0,174.0,109.0,65.0,220.0,78.0,2234.0,1099.0,793.0,12.0,6138.0,28620.0,6232.646261392219
Stendal,Kreis,109592,16.0,0.0,2.0,28.0,4.0,269.0,732.0,1212.0,414.0,1202.0,88.0,34.0,369.0,261.0,50.0,68.0,50.0,18.0,36.0,62.0,955.0,498.0,340.0,2.0,1266.0,7976.0,7277.903496605592
Stormarn,Kreis,248267,23.0,0.0,0.0,17.0,6.0,267.0,916.0,2620.0,691.0,2429.0,415.0,121.0,788.0,809.0,271.0,68.0,38.0,30.0,69.0,41.0,1248.0,538.0,359.0,1.0,3061.0,14826.0,5971.7964932914965
Straubing,City,49775,6.0,0.0,0.0,4.0,0.0,87.0,337.0,770.0,326.0,385.0,15.0,7.0,234.0,121.0,14.0,34.0,13.0,21.0,14.0,3.0,305.0,341.0,121.0,1.0,629.0,3788.0,7610.246107483677
Straubing-Bogen,Kreis,104167,6.0,0.0,0.0,1.0,0.0,48.0,187.0,268.0,70.0,153.0,19.0,9.0,31.0,49.0,5.0,13.0,7.0,6.0,13.0,4.0,205.0,110.0,56.0,0.0,221.0,1481.0,1421.7554503825588
Stuttgart,City,633484,104.0,0.0,18.0,270.0,29.0,1737.0,4415.0,11764.0,4522.0,4926.0,564.0,208.0,949.0,1218.0,1428.0,796.0,352.0,444.0,255.0,106.0,4510.0,5511.0,2531.0,22.0,7343.0,54022.0,8527.76076428134
Suhl,City,36986,2.0,0.0,0.0,6.0,1.0,87.0,207.0,717.0,440.0,222.0,21.0,6.0,33.0,62.0,16.0,25.0,14.0,11.0,11.0,18.0,309.0,251.0,107.0,0.0,299.0,2865.0,7746.174228086303
Sächsische Schweiz-Osterzgebirge,Kreis,246011,13.0,1.0,4.0,19.0,5.0,259.0,661.0,1511.0,410.0,1515.0,79.0,38.0,410.0,318.0,47.0,57.0,37.0,20.0,78.0,81.0,1341.0,668.0,325.0,3.0,1781.0,9681.0,3935.1898898829727
Sömmerda,Kreis,69418,1.0,0.0,0.0,5.0,0.0,104.0,400.0,594.0,231.0,523.0,23.0,6.0,114.0,116.0,19.0,17.0,7.0,10.0,30.0,18.0,493.0,241.0,125.0,2.0,591.0,3670.0,5286.813218473595
Südliche Weinstraße,Kreis,112894,18.0,0.0,0.0,7.0,1.0,128.0,502.0,782.0,103.0,531.0,87.0,30.0,120.0,177.0,23.0,34.0,15.0,19.0,30.0,41.0,635.0,255.0,162.0,0.0,876.0,4576.0,4053.359788828458
Südwestpfalz,Kreis,94912,5.0,0.0,0.0,3.0,3.0,75.0,260.0,365.0,46.0,185.0,50.0,18.0,22.0,65.0,10.0,15.0,7.0,8.0,12.0,21.0,335.0,224.0,91.0,2.0,384.0,2206.0,2324.25826028321
Teltow-Fläming,Kreis,178482,18.0,0.0,2.0,19.0,8.0,247.0,800.0,1663.0,429.0,2050.0,207.0,87.0,634.0,517.0,64.0,66.0,35.0,31.0,90.0,63.0,1088.0,409.0,327.0,3.0,2049.0,10906.0,6110.420098385272
Tirschenreuth,Kreis,72147,4.0,0.0,0.0,1.0,0.0,54.0,187.0,340.0,93.0,180.0,10.0,2.0,68.0,39.0,4.0,15.0,7.0,8.0,17.0,8.0,201.0,353.0,64.0,0.0,262.0,1917.0,2657.075138259387
Traunstein,Kreis,181763,23.0,0.0,0.0,2.0,1.0,154.0,528.0,844.0,247.0,307.0,34.0,6.0,160.0,85.0,20.0,41.0,27.0,14.0,84.0,17.0,612.0,469.0,202.0,4.0,692.0,4573.0,2515.9135797714607
Trier,City,112737,20.0,0.0,0.0,38.0,2.0,287.0,915.0,2461.0,977.0,920.0,96.0,36.0,302.0,492.0,241.0,95.0,47.0,48.0,39.0,21.0,1107.0,947.0,378.0,2.0,2187.0,11658.0,10340.88187551558
Trier-Saarburg,Kreis,153814,7.0,0.0,0.0,7.0,1.0,138.0,556.0,937.0,196.0,472.0,97.0,44.0,80.0,220.0,69.0,28.0,13.0,15.0,16.0,40.0,606.0,305.0,157.0,0.0,877.0,4881.0,3173.3132224634946
Tuttlingen,Kreis,146124,16.0,1.0,1.0,9.0,2.0,111.0,359.0,1002.0,381.0,448.0,36.0,14.0,203.0,126.0,21.0,32.0,17.0,15.0,49.0,25.0,585.0,263.0,151.0,0.0,772.0,4639.0,3174.7009389285813
Tübingen,Kreis,234649,20.0,0.0,1.0,27.0,2.0,274.0,717.0,1972.0,651.0,1091.0,42.0,10.0,437.0,264.0,96.0,96.0,29.0,67.0,71.0,47.0,1320.0,684.0,368.0,11.0,1659.0,9956.0,4242.933061721977
Uckermark,Kreis,117803,9.0,0.0,2.0,30.0,13.0,248.0,692.0,1410.0,516.0,1313.0,81.0,26.0,322.0,307.0,12.0,66.0,43.0,23.0,59.0,54.0,1376.0,516.0,346.0,3.0,1357.0,8824.0,7490.471380185563
Uelzen,Kreis,95088,25.0,0.0,0.0,17.0,8.0,163.0,506.0,1207.0,462.0,652.0,60.0,12.0,300.0,105.0,54.0,69.0,31.0,38.0,50.0,45.0,660.0,502.0,264.0,4.0,1040.0,6274.0,6598.098603398957
Ulm,City,129942,30.0,0.0,3.0,34.0,3.0,311.0,763.0,2423.0,1224.0,904.0,47.0,13.0,429.0,194.0,112.0,82.0,23.0,59.0,55.0,22.0,908.0,477.0,441.0,15.0,1399.0,9971.0,7673.423527419925
Unna,Kreis,399447,60.0,0.0,10.0,72.0,9.0,632.0,1956.0,5004.0,1201.0,3762.0,570.0,239.0,1004.0,1297.0,656.0,153.0,98.0,55.0,259.0,102.0,2817.0,881.0,869.0,7.0,6060.0,27773.0,6952.862332174231
Unstrut-Hainich-Kreis,Kreis,98233,4.0,0.0,1.0,8.0,6.0,167.0,530.0,1013.0,326.0,936.0,80.0,26.0,181.0,158.0,18.0,35.0,24.0,11.0,47.0,48.0,752.0,597.0,222.0,1.0,797.0,5988.0,6095.711217208066
Unterallgäu,Kreis,151838,9.0,0.0,0.0,1.0,0.0,111.0,424.0,708.0,154.0,256.0,37.0,10.0,182.0,87.0,7.0,40.0,19.0,21.0,34.0,10.0,377.0,629.0,133.0,1.0,558.0,3808.0,2507.936089779897
Vechta,Kreis,147751,14.0,0.0,2.0,16.0,2.0,189.0,496.0,1260.0,400.0,1262.0,112.0,49.0,708.0,254.0,110.0,37.0,24.0,13.0,55.0,14.0,501.0,300.0,258.0,5.0,1523.0,7604.0,5146.49647041306
Verden,Kreis,141349,18.0,1.0,1.0,23.0,3.0,220.0,587.0,1537.0,461.0,1108.0,140.0,64.0,429.0,319.0,110.0,41.0,18.0,23.0,69.0,36.0,627.0,378.0,311.0,4.0,1436.0,7964.0,5634.281105632159
Viersen,Kreis,302885,49.0,1.0,0.0,38.0,10.0,475.0,1595.0,3109.0,716.0,2921.0,438.0,200.0,898.0,978.0,230.0,121.0,85.0,36.0,204.0,58.0,1584.0,2407.0,626.0,7.0,3942.0,20728.0,6843.521468544167
Vogelsbergkreis,Kreis,106792,9.0,0.0,0.0,9.0,5.0,148.0,373.0,730.0,237.0,334.0,49.0,24.0,60.0,163.0,23.0,21.0,14.0,7.0,62.0,35.0,394.0,343.0,182.0,1.0,556.0,3779.0,3538.6545808674805
Vogtlandkreis,Kreis,221953,10.0,0.0,2.0,22.0,6.0,333.0,832.0,1828.0,755.0,1501.0,100.0,39.0,191.0,325.0,45.0,97.0,68.0,29.0,58.0,112.0,1668.0,629.0,412.0,3.0,1752.0,10817.0,4873.554311047835
Vorpommern-Greifswald,Kreis,237184,10.0,0.0,0.0,25.0,5.0,359.0,1029.0,2556.0,940.0,2618.0,190.0,73.0,1223.0,498.0,78.0,146.0,90.0,56.0,67.0,133.0,2389.0,773.0,426.0,2.0,3326.0,17012.0,7172.490555855369
Vorpommern-Rügen,Kreis,227746,24.0,0.0,1.0,34.0,7.0,426.0,1292.0,2162.0,778.0,1454.0,110.0,38.0,589.0,342.0,72.0,166.0,107.0,59.0,41.0,109.0,2311.0,1406.0,524.0,3.0,2606.0,14661.0,6437.434686009853
Vulkaneifel,Kreis,61912,8.0,0.0,0.0,5.0,0.0,61.0,247.0,406.0,64.0,205.0,45.0,14.0,31.0,65.0,19.0,25.0,14.0,11.0,10.0,46.0,324.0,195.0,81.0,1.0,394.0,2271.0,3668.109574880476
Waldeck-Frankenberg,Kreis,159189,16.0,0.0,1.0,15.0,5.0,191.0,558.0,1385.0,414.0,563.0,74.0,13.0,103.0,290.0,105.0,41.0,21.0,20.0,42.0,30.0,701.0,364.0,257.0,9.0,1210.0,6428.0,4037.967447499513
Waldshut,Kreis,174391,16.0,3.0,2.0,14.0,0.0,155.0,659.0,1471.0,579.0,423.0,45.0,14.0,147.0,269.0,24.0,60.0,22.0,38.0,56.0,26.0,734.0,438.0,212.0,6.0,953.0,6366.0,3650.4177394475632
Warendorf,Kreis,283295,42.0,0.0,1.0,24.0,6.0,364.0,1300.0,2765.0,607.0,2277.0,226.0,96.0,977.0,531.0,245.0,105.0,85.0,20.0,140.0,33.0,1404.0,790.0,484.0,3.0,3306.0,15831.0,5588.167810939127
Wartburgkreis,Kreis,159201,8.0,0.0,0.0,4.0,5.0,212.0,749.0,1478.0,519.0,705.0,48.0,14.0,120.0,220.0,35.0,84.0,74.0,10.0,31.0,73.0,1065.0,474.0,250.0,0.0,1033.0,7211.0,4529.494161468835
