Gebietskennziffer;name;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_gsm;v_lte;v_5g;p_markt;p_hbad;p_freibad;p_notfall;p_grunds;p_sek_1;p_sek_2
1051089;Quickborn;25,76;-1,35;965,25;56,41;45,76;67,24;100;100;100;5,1;18,56;5,73;31,13;5,1;5,39;18,72
1051090;Ramhusen;35,21;1,26;983,7;62,5;61,54;63,46;100;100;100;8,83;11,52;10,99;32,45;10,36;10,55;10,98
1051092;Rehm-Flehde-Bargen;37,94;1,72;1616,32;64,72;60,36;68,97;100;100;100;6,04;17,74;5,945;14,48;5,39;15,6;13,86
1051093;Reinsbüttel;59,74;-0,98;1514,92;62,45;61,79;63,11;100;100;100;6,18;10,6;7,76;15,13;7,24;8,02;9,69
1051096;Sankt Annen;20,82;-0,75;2738,89;64,84;60,71;68,37;100;100;100;7,04;23,58;8,055;23,48;7,51;21,34;21,28
1051097;Sankt Michaelisdonn;153,56;0,73;1285,01;66,62;57,55;75,93;100;100;100;2,95;13,83;2,775;31,49;3,29;3,35;13,86
1051098;Sarzbüttel;54,14;0,86;731,66;69,45;57,66;80,69;100;97,8;82,4;9,73;12,46;11,52;21,28;6,61;12,13;14,63
1051099;Schafstedt;71,7;0,77;943,54;71,46;63,87;78,82;100;100;100;10,38;11,82;3,19;20,48;10,62;11,46;20,94
1051100;Schalkholz;46,09;-0,34;1012,57;66,12;62,3;69,95;100;100;99,1;4,74;12,15;6,71;19,62;4,81;4,81;17,13
1051102;Schlichting;19,68;0,5;780,26;52,74;46,38;58,44;100;100;100;9,08;21,92;9;21,78;8,77;19,88;21,17
1051103;Schmedeswurth;32,32;0,87;2118,65;65,45;64,29;66,67;100;100;100;5,71;6,92;13,16;33,04;6,04;6,04;7,02
1051104;Schrum;14,37;0,87;951,82;69,44;70,59;68,42;100;100;93,2;7,05;8,84;10,67;16,79;7,42;7,45;12,58
1051105;Schülp;42,83;-0,3;2376,91;75,49;71,43;79,53;100;100;100;5,47;21,12;4;19,37;6,41;5,55;18,42
1051107;Stelle-Wittenwurth;42,76;1,76;3512,26;73,86;77,1;70,68;100;100;100;4,13;13,42;9,89;10,17;4,57;12,21;9,74
1051108;Strübbel;22,05;2,56;3717,41;71,7;68,75;76,19;100;100;100;8,47;21,2;7,995;17,25;9,42;8,73;15,42
1051109;Süderdeich;67,17;-1,18;2286,26;58,61;57,25;60;100;100;100;3,95;13,32;5,02;16,75;4,69;5,49;12,32
1051110;Süderhastedt;50;-0,52;1063,62;69,57;60,67;79,19;100;100;99,6;10,98;15,51;9,44;24,58;10,4;10,91;14,46
1051113;Wöhrden;59,81;0,88;2121,13;61,44;58,41;64,43;100;100;100;8,37;12,34;9,38;10,06;9,01;9,76;9,9
1051114;Tellingstedt;128,77;0,91;1134,62;65,21;62,92;67,57;100;100;99,8;3,66;10,31;7,55;18,07;3,78;3,78;14,4
1051117;Tielenhemme;13,09;0;637,23;50,54;52,83;47,5;100;100;100;5,69;20,63;6,06;25,95;6,6;13,9;23,86
1051118;Trennewurth;31,71;0,25;2252,47;68,24;71,64;65,43;100;100;100;6,34;8,12;-9999;26,85;6,26;7,43;6,54
1051119;Volsemenhusen;20,5;-0,62;3106,81;57,71;57,78;57,66;100;100;100;6,98;8,45;8,19;31,73;7,64;7,64;8,47
1051120;Wallen;16,13;-2,35;972,67;56,25;36,36;100;100;100;100;4,71;19,98;6,34;24,26;9,22;12,64;22,29
1051121;Warwerort;52,84;0,51;954,74;59,54;60;59,09;100;100;100;6,8;9,4;13,7;14,39;8,49;8,49;8,49
1051122;Weddingstedt;131,3;0,2;1413,5;64,08;64,05;64,1;100;100;100;2,63;9,23;9,455;7;2,35;8,55;6,43
1051125;Welmbüttel;52,89;-1,39;996,36;74,58;72,41;76,67;100;100;96;5,09;10,39;8,46;14,75;5,4;5,41;10,54
1051126;Wennbüttel;18,08;-1,96;1262,58;50;48,15;52,17;100;100;100;4,09;3,78;7,085;22,74;4,34;4,52;20,41
1051127;Wesselburen, Stadt;694,74;1,37;723,25;69,84;65,06;74,75;100;100;100;1,5;15,94;2,16;14,47;2,79;2,33;14,48
1051128;Wesselburener Deichhausen;21,5;0,37;5568,55;59,46;55,26;63,89;100;100;100;4,1;13,44;5,67;11,26;6,57;5,73;11,31
1051129;Wesselburenerkoog;7,99;1,34;2971,9;59,09;58,49;59,65;100;100;99,8;6,2;21,52;5,74;20,06;6,85;6,21;18,04
1051130;Wesseln;378,46;-0,22;1846,86;65,73;66,83;64,6;100;100;100;3,4;8,62;8,27;4,7;1,85;7,06;4,59
1051131;Westerborstel;27,78;3;1713,3;72,73;79,41;65,63;100;100;100;2,94;11,27;9,71;19,49;3,26;3,26;15,75
1051132;Westerdeichstrich;115,33;-0,02;1570,68;60,56;57,2;64,08;100;100;100;5,14;7,33;13,845;18,76;6,15;6,15;6,15
1051133;Wiemerstedt;30,12;0,13;888,99;62,5;54,76;69,57;100;100;100;7,57;18;9,45;14,96;8,17;16,94;14,52
1051134;Windbergen;44,19;-0,63;591,51;68,9;63,04;74,68;100;100;99,6;9,66;13,22;9,56;26,61;9,15;9,38;12,47
1051135;Wolmersdorf;52,54;-0,55;956,5;72,11;72,53;71,72;100;100;100;4,06;7,3;7,41;21,35;6,57;6,19;6,13
1051136;Wrohm;63,49;1,04;1252,25;64,2;59,72;68,47;100;100;100;2,83;11,41;2,575;23,98;5,9;8,81;19,85
1051137;Nordermeldorf;17,68;0,58;1491,57;61,75;57,38;65,44;100;100;99,9;7,73;8,92;8,455;15,96;8,6;8,78;8,18
1051138;Tensbüttel-Röst;34,76;-0,03;1244,56;58,25;57,85;58,71;100;99,9;89,5;7,71;9,07;7,735;18,79;7,43;8,87;15,83
1051139;Süderdorf;22,02;0,28;1538,71;59,28;55,43;62,75;100;100;100;4,74;10,87;-9999;22,09;6,05;6,73;17,88
1051140;Oesterwurth;17,69;-0,16;3311,2;67,76;75,32;60;100;100;100;5,01;16,38;6,54;12,3;7,29;6,44;12,7
1051141;Süderheistedt;60,55;-1,55;1690,32;67,9;70,13;65,88;100;100;96,4;5,24;9;7,93;11,21;6,82;9,3;9,23
1053001;Albsfelde;16,99;-0,81;891,24;57,5;52,38;63,16;100;100;91,2;5,56;9,13;8,99;13,53;6,98;11,75;6,56
1053002;Alt-Mölln;132,45;-0,9;1725,36;58,16;59,18;57,09;100;100;99,4;3,4;5,34;8,69;17,78;4;5,73;5,46
