UJAHR,XGCSWGS84,YGCSWGS84
2019,"10,124003363000000","54,317451598000000"
2019,"10,734647155000100","53,920540835000100"
2019,"10,558862530000100","54,173418844000100"
2019,"9,682357268000030","54,721551665000100"
2019,"9,597061843000060","54,693334250000100"
2019,"10,615793867000000","53,484724675000100"
2019,"10,490124849000000","53,511814279000100"
2019,"9,983053641000030","53,795979927000100"
2019,"9,434017638000060","54,780286232000000"
2019,"9,996138855000030","54,074198069000000"
2019,"9,684895388000030","53,689508740000100"
2019,"9,644893897000030","53,759116486000000"
2019,"9,424864910000050","54,771607641000100"
2019,"9,710615600000040","53,581938471000100"
2019,"9,970721523000070","54,405841670000000"
2019,"10,789836165000100","53,693952179000100"
2019,"8,489458388000060","54,692088661000100"
2019,"10,654184190000000","53,841949235000100"
2019,"10,557815924000100","53,374231708000100"
2019,"9,885204452000040","53,916133956000100"
2019,"9,526009125000030","53,927142339000100"
2019,"10,641606245000000","53,846548586000000"
2019,"10,680144657000000","53,619755120000000"
2019,"9,620445959000050","53,812232860000100"
2019,"8,994691673000030","53,947907088000100"
2019,"8,309506579000070","54,906873195000100"
2019,"9,982365579000030","54,412915691000100"
2019,"10,670056220000000","53,879205706000100"
2019,"9,432792133000020","54,778612665000100"
2019,"10,678049162000000","53,899742396000100"
2019,"10,240314105000000","53,510618886000000"
2019,"9,855915806000040","54,401054958000000"
2019,"9,672989533000080","53,625248137000000"
2019,"10,818711033000100","54,105781631000100"
2019,"9,903768811000080","53,955754410000100"
2019,"10,662364628000000","53,869224823000100"
2019,"9,649163300000060","54,307769260000000"
2019,"9,672420987000070","54,313923794000100"
2019,"9,433869445000030","54,789818994000000"
2019,"10,201456398000100","53,540406314000100"
2019,"9,433567013000070","54,792170853000100"
2019,"9,986575842000040","54,128250401000100"
2019,"9,675333610000050","54,314744227000100"
2019,"10,554125736000100","53,373980641000100"
2019,"10,562960310000100","54,036056615000100"
2019,"10,131767924000000","54,360016405000100"
2019,"9,090034230000070","54,188991364000100"
2019,"9,621291180000070","53,781602222000100"
2019,"10,085514966000100","54,331455919000100"
2019,"10,113669675000000","54,303944590000100"
2019,"9,477190389000040","54,798153660000100"
2019,"9,656502192000060","53,683128216000100"
